Algorithm,Map,Starting Pose,local_int,time,total_dist,to_20,to_30,to_40,to_50,to_60,to_70,to_80,to_90,to_100
utility,8,top_right,21.0,1.3475799560546875,240.77669529663672,7.0,11.0,15.0,24.0,27.0,29.0,44.0,60.0,66.0
utility,8,bottom_left,81.0,1.9653019905090332,394.88434303496126,12.0,15.0,20.0,26.0,34.0,40.0,63.0,71.0,104.0
utility,8,bottom_right,29.0,4.773135185241699,324.7594513539335,7.0,12.0,18.0,20.0,24.0,33.0,39.0,48.0,88.0
utility,9,top_left,24.0,2.9572501182556152,343.17366491630656,11.0,15.0,20.0,30.0,44.0,48.0,53.0,63.0,98.0
utility,9,top_right,22.0,2.345885992050171,419.15642097360353,7.0,10.0,13.0,20.0,25.0,29.0,49.0,70.0,117.0
utility,9,bottom_left,11.0,1.5701580047607422,323.27416997969493,8.0,10.0,20.0,28.0,32.0,37.0,48.0,61.0,93.0
utility,9,bottom_right,42.0,1.782118797302246,344.61731573020256,16.0,20.0,26.0,31.0,36.0,40.0,45.0,57.0,99.0
utility,10,top_left,43.0,3.334397077560425,367.21529547664915,16.0,25.0,27.0,33.0,39.0,45.0,48.0,61.0,107.0
utility,10,top_right,16.0,1.527034044265747,264.43354954612903,9.0,13.0,17.0,22.0,27.0,30.0,42.0,57.0,75.0
utility,10,bottom_left,23.0,2.6574268341064453,474.239682094289,7.0,10.0,17.0,22.0,26.0,32.0,41.0,59.0,135.0
utility,10,bottom_right,47.0,3.389612913131714,470.6122650963197,7.0,20.0,24.0,27.0,31.0,35.0,47.0,54.0,139.0
mdp,1,top_left,19.0,33.461284160614014,151.4091629284897,6.0,8.0,11.0,14.0,15.0,17.0,18.0,23.0,41.0
mdp,1,top_right,29.0,47.683533906936646,178.52186130069776,5.0,8.0,10.0,12.0,14.0,16.0,19.0,22.0,48.0
mdp,1,bottom_left,30.0,51.13867688179016,198.17871555019013,5.0,9.0,12.0,14.0,16.0,19.0,29.0,32.0,53.0
mdp,1,bottom_right,28.0,74.43763613700867,224.87720036002509,6.0,8.0,10.0,13.0,15.0,17.0,20.0,25.0,60.0
mdp,2,top_left,13.0,33.695371866226196,145.30865786510137,5.0,8.0,12.0,14.0,18.0,20.0,24.0,28.0,38.0
mdp,2,top_right,30.0,56.79061198234558,227.3919189857865,8.0,13.0,15.0,17.0,19.0,22.0,24.0,30.0,62.0
mdp,2,bottom_left,23.0,46.60851693153381,178.79393923933992,5.0,8.0,10.0,13.0,14.0,16.0,20.0,24.0,48.0
mdp,2,bottom_right,31.0,58.05708312988281,235.63455967290577,7.0,11.0,14.0,16.0,19.0,20.0,23.0,30.0,64.0
mdp,3,top_left,16.0,65.31768107414246,241.91883092036767,7.0,9.0,12.0,14.0,16.0,19.0,26.0,34.0,63.0
mdp,3,top_right,33.0,80.95749688148499,386.3452377915604,7.0,10.0,14.0,16.0,21.0,25.0,33.0,41.0,108.0
mdp,3,bottom_left,25.0,56.33764290809631,231.73506473629413,6.0,10.0,14.0,17.0,22.0,30.0,35.0,39.0,64.0
